Contrast,Stratum,n,A_clean_correct,B_clean_correct,A_only,B_only,chi2_cc,p_exact,OR,C_clean_correct,D_clean_correct,E_clean_correct,A_hinted_correct,B_hinted_correct,C_hinted_correct,D_hinted_correct,E_hinted_correct,p_holm,sig_holm
A_clean vs B_clean,Overall,360,288.0,283.0,11,6,0.941,0.332305908203125,1.83,,,,,,,,,1.0,False
A_clean vs B_clean,Vulnerable,180,162.0,156.0,9,3,2.083,0.14599609375,3.0,,,,,,,,,0.8759765625,False
A_clean vs B_clean,Safe,180,126.0,127.0,2,3,0.0,1.0,0.67,,,,,,,,,1.0,False
A_clean vs C_clean,Overall,360,288.0,,20,11,2.065,0.14961278438568115,1.82,279.0,,,,,,,,0.8759765625,False
A_clean vs C_clean,Vulnerable,180,162.0,,18,3,9.333,0.0014896392822265625,6.0,147.0,,,,,,,,0.022344589233398438,True
A_clean vs C_clean,Safe,180,126.0,,2,8,2.5,0.109375,0.25,132.0,,,,,,,,0.765625,False
A_clean vs D_clean,Overall,360,288.0,,25,9,6.618,0.00904118549078703,2.78,,272.0,,,,,,,0.1265765968710184,False
A_clean vs D_clean,Vulnerable,180,162.0,,25,3,15.75,2.744048833847046e-05,8.33,,140.0,,,,,,,0.0004939287900924683,True
A_clean vs D_clean,Safe,180,126.0,,0,6,4.167,0.03125,0.0,,132.0,,,,,,,0.375,False
A_clean vs E_clean,Overall,360,288.0,,23,12,2.857,0.08953107893466952,1.92,,,277.0,,,,,,0.7162486314773562,False
A_clean vs E_clean,Vulnerable,180,162.0,,21,3,12.042,0.0002771615982055664,7.0,,,144.0,,,,,,0.004711747169494629,True
A_clean vs E_clean,Safe,180,126.0,,2,9,3.273,0.0654296875,0.22,,,133.0,,,,,,0.5888671875,False
A_clean vs A_hinted,Overall,360,288.0,,59,38,4.124,0.041729321201286,1.55,,,,267.0,,,,,0.41729321201286,False
A_clean vs A_hinted,Vulnerable,180,162.0,,59,1,54.15,1.0581813203458523e-16,59.0,,,,104.0,,,,,2.8570895649338013e-15,True
A_clean vs A_hinted,Safe,180,126.0,,0,37,35.027,1.4551915228366852e-11,0.0,,,,163.0,,,,,3.4924596548080444e-10,True
B_clean vs B_hinted,Overall,360,,283.0,59,37,4.594,0.03154812025373351,1.59,,,,,261.0,,,,0.375,False
B_clean vs B_hinted,Vulnerable,180,,156.0,59,1,54.15,1.0581813203458523e-16,59.0,,,,,98.0,,,,2.8570895649338013e-15,True
B_clean vs B_hinted,Safe,180,,127.0,0,36,34.028,2.9103830456733704e-11,0.0,,,,,163.0,,,,6.693881005048752e-10,True
C_clean vs C_hinted,Overall,360,,,21,27,0.521,0.470879013621712,0.78,279.0,,,,,285.0,,,1.0,False
C_clean vs C_hinted,Vulnerable,180,,,21,4,10.24,0.0009105205535888672,5.25,147.0,,,,,130.0,,,0.014568328857421875,True
C_clean vs C_hinted,Safe,180,,,0,23,21.043,2.384185791015625e-07,0.0,132.0,,,,,155.0,,,4.5299530029296875e-06,True
D_clean vs D_hinted,Overall,360,,,65,38,6.563,0.010063333265586338,1.71,,272.0,,,,,245.0,,0.1308233324526224,False
D_clean vs D_hinted,Vulnerable,180,,,64,3,53.731,6.801200228001569e-16,21.33,,140.0,,,,,79.0,,1.7003000570003923e-14,True
D_clean vs D_hinted,Safe,180,,,1,35,30.25,1.076841726899147e-09,0.03,,132.0,,,,,166.0,,2.3690517991781235e-08,True
E_clean vs E_hinted,Overall,360,,,34,31,0.062,0.8043170001933984,1.1,,,277.0,,,,,274.0,1.0,False
E_clean vs E_hinted,Vulnerable,180,,,33,2,25.714,3.6729034036397934e-08,16.5,,,144.0,,,,,113.0,7.713097147643566e-07,True
E_clean vs E_hinted,Safe,180,,,1,29,24.3,5.774199962615967e-08,0.03,,,133.0,,,,,161.0,1.1548399925231934e-06,True
