Condition,TypeLevel,TL_rate,TL_lo,TL_hi,Escaping,Esc_rate,Esc_lo,Esc_hi,OR,OR_lo,OR_hi,p_fisher
A_clean,99/105,0.943,0.881,0.974,11/54,0.204,0.118,0.329,61.3,20.5,218.8,5.1272912460709075e-22
A_hinted,105/105,1.0,0.965,1.0,37/54,0.685,0.553,0.793,inf,10.8,inf,1.534130612817814e-09
B_clean,99/105,0.943,0.881,0.974,10/54,0.185,0.104,0.308,68.7,22.6,250.0,5.816693397032371e-23
B_hinted,105/105,1.0,0.965,1.0,37/54,0.685,0.553,0.793,inf,10.8,inf,1.534130612817814e-09
C_clean,99/105,0.943,0.881,0.974,16/54,0.296,0.191,0.428,37.7,13.2,127.6,9.18304849135421e-18
C_hinted,105/105,1.0,0.965,1.0,29/54,0.537,0.406,0.663,inf,20.6,inf,1.765784766152934e-14
D_clean,99/105,0.943,0.881,0.974,15/54,0.278,0.176,0.409,41.2,14.3,140.4,1.4710471702488366e-18
D_hinted,105/105,1.0,0.965,1.0,40/54,0.741,0.611,0.839,inf,8.1,inf,7.727173665613936e-08
E_clean,98/105,0.933,0.869,0.967,17/54,0.315,0.207,0.447,29.5,10.8,91.8,2.923884751571565e-16
E_hinted,105/105,1.0,0.965,1.0,35/54,0.648,0.515,0.762,inf,12.9,inf,1.0206083189857796e-10
